"","year","country_name","country_name_short","vot_cd","vot_ci","vot_ei","vot_ed","lab_left","lab_right","start_date","left_cabin","gdp_per","pol_pol","pol_viol","pub_serv_rural","urb_pop","avr_educ","age_stand_death","total_death","total_death_rate","per_foreign_pop","var_lab_right","var_lab_left","prev_left_cab","var_gdp","var_death","var_tot_death"
"245",1983,"Iceland","ISL",28.85,9.5,11.4,0,4.95,4.875,1983-05-26,"0",10.11,1.5,0.5,2.667,92.3,8.595,NA,NA,NA,NA,0.674999999999999,-0.850000000000001,"0",0.0499999999999989,NA,NA
"246",1987,"Iceland","ISL",11.9,7.7,8.33333333333333,0,3.8,0.8,1987-07-08,"0",10.29,1.5,0.5,2.667,96.7,9.079,NA,NA,NA,NA,-4.075,-1.15,"0",0.18,NA,NA
"247",1991,"Iceland","ISL",15.125,15.5,11.35,0,2.10033333333333,0,1991-04-30,"0",10.25,1.5,0,3,101.1,9.558,1.2,3,1.21,NA,-0.8,-1.69966666666667,"0",-0.0399999999999991,NA,NA
"248",1995,"Iceland","ISL",30.2,9.3,9.6,0,3.517,2.482,1995-04-13,"0",10.21,1.5,0,3,105.5,10.022,1.08,3,1.1,NA,2.482,1.41666666666667,"0",-0.0399999999999991,-0.12,0
"249",1999,"Iceland","ISL",21.1,26.8,9.1,0,1.405,0.4585,1999-05-28,"0",10.38,2,0,3,109.9,10.485,1.01,3,1.03,NA,-2.0235,-2.112,"0",0.17,-0.0700000000000001,0
"250",2003,"Iceland","ISL",19.6,31,8.8,0,0.811666666666667,0,2003-05-23,"0",10.43,1.5,0,3.333,NA,10.837,0.9,3,0.93,3.6,-0.4585,-0.593333333333333,"0",0.0499999999999989,-0.11,0
"251",2007,"Iceland","ISL",18.5333333333333,26.8,8.8,0,1.366,0,2007-05-24,"0",10.62,1.5,0,3.333,NA,11.152,0.79,3,0.82,6.1,0,0.554333333333333,"0",0.19,-0.11,0
"252",2009,"Iceland","ISL",11.975,29.8,21.7,0,1.33166666666667,2.6235,2009-04-25,"1",10.54,3,1.5,3.333,NA,11.31,0.76,3,0.79,7.8,2.6235,-0.0343333333333335,"0",-0.0800000000000001,-0.03,0
"253",2013,"Iceland","ISL",15.2775,12.85,4.875,0,2.3436,0.84,2013-05-23,"0",10.55,2,0.5,3.333,NA,11.388,0.73,2,0.76,6.6,-1.7835,1.01193333333333,"1",0.0100000000000016,-0.03,-1
"254",2016,"Iceland","ISL",14.1175,5.58,10.9833333333333,0,1.3785,0,2017-01-10,"0",10.65,2,0,3.333,NA,11.388,0.69,2,0.72,8,-0.84,-0.9651,"0",0.0999999999999996,-0.04,0
"255",2017,"Iceland","ISL",10.94,12.1,11,0,1.168625,0,2017-11-30,"1",10.67,1,0,3.333,NA,11.388,NA,NA,NA,9,0,-0.209875,"0",0.0199999999999996,NA,NA
"256",1948,"Ireland","IRL",20.1175,5.63,0,0,3.25,0.8,1948-02-18,"0",8.55,1.75,0.5,2,NA,7.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",1951,"Ireland","IRL",19.755,11.4,0,0,5.625,1.8,1951-06-13,"0",8.64,1.5,0.5,2,1186.06,7.188,NA,NA,NA,NA,1,2.375,"0",0.0899999999999999,NA,NA
"258",1954,"Ireland","IRL",20.5625,12.06,0.15,0,0,0.3,1954-06-02,"0",8.71,1.5,0.5,2,1201.24,7.362,NA,NA,NA,NA,-1.5,-5.625,"0",0.0700000000000003,NA,NA
"259",1957,"Ireland","IRL",19.75,9.11,5.35,0,2.76666666666667,2.25,1957-03-20,"0",8.74,1.5,1,2,1216.42,7.536,NA,NA,NA,NA,1.95,2.76666666666667,"0",0.0299999999999994,NA,NA
"260",1961,"Ireland","IRL",19.6225,11.65,0.98,0,0.533333333333333,0.3,1961-10-11,"0",8.88,0.75,0.75,2.25,1236.66,7.778,NA,NA,NA,NA,-1.95,-2.23333333333333,"0",0.140000000000001,NA,NA
"261",1965,"Ireland","IRL",27.5,15.38,0,0,2.275,0,1965-04-21,"0",8.99,0.75,0.5,2.25,1256.9,8.05,NA,NA,NA,NA,-0.3,1.74166666666667,"0",0.109999999999999,NA,NA
"262",1969,"Ireland","IRL",39.88,17.02,0,0,2,1.7,1969-07-02,"0",9.18,0.75,0.75,2.25,1277.14,8.322,NA,NA,NA,NA,1.7,-0.275,"0",0.19,NA,NA
"263",1973,"Ireland","IRL",40.66,13.71,1.14,0,0,0,1973-03-14,"0",9.3,0.5,1.25,2.5,1297.38,8.51,NA,NA,NA,NA,-1.7,-2,"0",0.120000000000001,NA,NA
"264",1977,"Ireland","IRL",40.56,11.63,1.7,0,0.4,0,1977-07-05,"0",9.43,0.5,1.25,3,1317.62,8.67,NA,NA,NA,NA,0,0.4,"0",0.129999999999999,NA,NA
"265",1981,"Ireland","IRL",40.86,9.89,1.72,0,2.04366666666667,0.8,1981-06-30,"0",9.54,0.5,1.4,3,1337.86,8.863,NA,NA,NA,NA,0.8,1.64366666666667,"0",0.109999999999999,NA,NA
"266",1982,"Ireland","IRL",42.245,9.24,2.18333333333333,0,8.039,11.0885,1982-03-09,"0",9.55,0.5,1.4,3,1342.92,8.936,NA,NA,NA,NA,10.2885,5.99533333333333,"0",0.0100000000000016,NA,NA
"267",1987,"Ireland","IRL",35.61,3.435,2.82,11.85,4.703,6.81,1987-03-10,"0",9.65,0.5,1.4,3,1368.22,9.301,NA,NA,NA,NA,-4.2785,-3.336,"0",0.0999999999999996,NA,NA
"268",1989,"Ireland","IRL",25.956,6.52333333333333,3.54666666666667,8.695,5.58333333333333,0,1989-07-12,"0",9.76,0.5,1.4,3,1378.34,9.447,NA,NA,NA,NA,-6.81,0.880333333333333,"0",0.109999999999999,NA,NA
"269",1992,"Ireland","IRL",31.79,19.31,1.93,4.68,2.312,1.158,1993-01-12,"0",9.91,0.2,1.4,3,1393.52,9.646,0.91,32,0.9,NA,1.158,-3.27133333333333,"0",0.15,NA,NA
"270",1997,"Ireland","IRL",22.7833333333333,10.4,2.13,4.68,0.927,1.37566666666667,1997-06-26,"0",10.29,0,0.8,3,1418.82,9.961,0.94,35,0.96,NA,0.217666666666667,-1.385,"0",0.379999999999999,0.0299999999999999,3
"271",2002,"Ireland","IRL",31.98,10.77,3.72,3.96,0.4655,0,2002-06-06,"0",10.67,0,0.6,3.25,NA,10.258,0.99,41,1.04,NA,-1.37566666666667,-0.4615,"0",0.380000000000001,0.05,6
"272",2007,"Ireland","IRL",34.44,10.13,4.09,2.73,1.47066666666667,0,2007-06-14,"0",10.87,0,0.6,3.25,NA,10.528,0.9,42,0.96,9.4,0,1.00516666666667,"0",0.199999999999999,-0.09,1
"273",2011,"Ireland","IRL",26.775,19.45,3.4925,0,3.017,0.99,2011-03-09,"0",10.8,0,0.6,3.25,NA,10.69,0.82,39,0.85,12.9,0.99,1.54633333333333,"0",-0.0699999999999985,-0.0800000000000001,-3
"274",2016,"Ireland","IRL",17.35,4.81,5.4975,0,3.10188888888889,0,2016-05-06,"0",10.94,0,0.4,3.25,NA,10.69,0.73,34,0.73,12.9,-0.99,0.084888888888889,"0",0.139999999999999,-0.09,-5
"275",1951,"Israel","ISR",6.95,24.9,4,0,6.45033333333333,0,1951-10-08,"1",8.52,2,1.429,3,654.5,6.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",1955,"Israel","ISR",7,15.9,4.5,9.1,3.3335,0.7785,1955-07-26,"1",8.68,2,1.429,3,856.5,6.982,NA,NA,NA,NA,0.7785,-3.11683333333333,"1",0.16,NA,NA
"277",1959,"Israel","ISR",8.1,17.1333333333333,2.8,9.9,3.932,0.78425,1959-12-17,"1",8.88,2,1.429,3,1058.5,7.095,NA,NA,NA,NA,0.00575000000000003,0.5985,"1",0.200000000000001,NA,NA
"278",1961,"Israel","ISR",13.7,16.2666666666667,4.2,9.8,2.60433333333333,3.3026,1961-11-02,"1",8.98,2,1.429,3,1159.5,7.206,NA,NA,NA,NA,2.51835,-1.32766666666667,"1",0.0999999999999996,NA,NA
"279",1965,"Israel","ISR",12.55,17.0666666666667,1.53333333333333,8.9,4.58533333333333,1.44233333333333,1966-01-12,"1",9.21,2,1.429,3,1361.5,7.539,NA,NA,NA,NA,-1.86026666666667,1.981,"1",0.23,NA,NA
"280",1969,"Israel","ISR",7.3,46.2,1.7,9.7,0,1.64475,1969-12-15,"1",9.42,2,1.571,3,1563.5,7.872,NA,NA,NA,NA,0.202416666666667,-4.58533333333333,"1",0.209999999999999,NA,NA
"281",1973,"Israel","ISR",16.9,20.9,2.4,8.3,1.41133333333333,0,1974-03-10,"1",9.64,2.143,1.571,3.167,1765.5,8.383,NA,NA,NA,NA,-1.64475,1.41133333333333,"1",0.220000000000001,NA,NA
"282",1977,"Israel","ISR",12.025,12.9,3.1,5.6,0.422,2.21328571428571,1977-06-20,"0",9.66,2.143,1.571,3.167,1967.5,8.953,NA,NA,NA,NA,2.21328571428571,-0.989333333333333,"1",0.0199999999999996,NA,NA
"283",1981,"Israel","ISR",8.96,19,3.4,4.9,0.6896,1.637,1981-08-05,"0",9.8,2.429,1.857,3.167,2169.5,9.439,NA,NA,NA,NA,-0.576285714285714,0.2676,"0",0.140000000000001,NA,NA
"284",1984,"Israel","ISR",6.65714285714286,18.65,2.6,2.35,0,0,1984-09-13,"1",9.81,2.429,1.714,3.167,2321,9.612,NA,NA,NA,NA,-1.637,-0.6896,"0",0.00999999999999979,NA,NA
"285",1988,"Israel","ISR",7.33333333333333,12.2666666666667,2.13333333333333,2.95,0,0,1988-12-22,"0",9.92,2.429,1.714,3.167,2523,9.843,NA,NA,NA,NA,0,0,"1",0.109999999999999,NA,NA
"286",1992,"Israel","ISR",7.34,34.7,4.53333333333333,5.7,2.6785,0,1992-07-13,"1",9.98,2.429,1.714,3.167,2725,10.066,3.22,152,3.15,NA,0,2.6785,"0",0.0600000000000005,NA,NA
"287",1996,"Israel","ISR",8.05,26.8,5.8,7.8,5.8035,0,1996-06-18,"0",10.08,2.429,1.429,3.167,2927,10.281,4.61,251,4.57,NA,0,3.125,"1",0.0999999999999996,1.39,99
"288",1999,"Israel","ISR",6.74285714285714,20.2,3.5,3.26666666666667,3.59833333333333,0,1999-07-06,"1",10.11,2.429,1.429,3.167,3078.5,10.441,3.59,210,3.56,NA,0,-2.20516666666667,"0",0.0299999999999994,-1.02,-41
"289",2003,"Israel","ISR",11.266,14.46,2.882,3.62666666666667,8.26325,0.763,2003-03-03,"0",10.11,2.571,1.857,3.167,NA,10.561,10.41,661,10.39,NA,0.763,4.66491666666667,"1",0,6.82,451
"290",2006,"Israel","ISR",11.3,15.1,2.58,8.05,6.82066666666667,1.033,2006-05-04,"0",10.19,2.429,1.429,3.286,NA,10.628,12.4,840,12.36,NA,0.27,-1.44258333333333,"0",0.0800000000000001,1.99,179
"291",2009,"Israel","ISR",14.25,5.36,2.93333333333333,5.96666666666667,5.057,1.8504,2009-03-31,"0",10.23,2.429,1.429,3.286,NA,10.694,11.92,866,11.86,NA,0.8174,-1.76366666666667,"0",0.0400000000000009,-0.48,26
"292",2013,"Israel","ISR",9.775,11.39,2.8125,5.44,2.76116666666667,0.5395,2013-03-18,"0",10.32,2.429,1.286,3.286,NA,10.716,2.72,208,2.66,NA,-1.3109,-2.29583333333333,"0",0.0899999999999999,-9.2,-658
"293",2015,"Israel","ISR",10.088,18.67,2.525,4.93666666666667,2.5356,0,2015-05-14,"0",10.34,2.429,1.429,3.286,NA,10.716,3.43,271,3.36,NA,-0.5395,-0.225566666666667,"0",0.0199999999999996,0.71,63
"294",2019,"Israel","ISR",13.418,4.615,5.765,4.05857142857143,4.63022222222222,2.35525,2019-04-09,"0",NA,2.571,1.286,3.5,NA,10.716,NA,NA,NA,NA,2.35525,2.09462222222222,"0",NA,NA,NA
"295",2020,"Israel","ISR",17.43,5.83,12.67,3.63333333333333,5.11766666666667,3.3455,2020-05-17,"0",NA,2.333,1.167,3.5,NA,10.716,NA,NA,NA,NA,0.99025,0.487444444444444,"0",NA,NA,NA
"296",1946,"Italy","ITA",9.624,8.46,10.19,2.77,7.40675,0,1946-07-13,"0",8.24,2.167,1.333,2.667,18644.64,4.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",1948,"Italy","ITA",13.285,3.27,31,2.405,3.41725,2.381,1948-05-23,"0",8.48,2.167,1.167,2.667,18959.32,4.852,NA,NA,NA,NA,2.381,-3.9895,"0",0.24,NA,NA
"298",1953,"Italy","ITA",14.52,6.26666666666667,22.6,6.35,4.66785714285714,0,1953-07-16,"0",8.82,2.5,1,2.833,19531.04,5.135,NA,NA,NA,NA,-2.381,1.25060714285714,"0",0.34,NA,NA
"299",1958,"Italy","ITA",12.24,6.73333333333333,22.7,3.5,4.9672,0.9555,1958-07-01,"0",9.05,2.5,1,2.833,19959.44,5.41,NA,NA,NA,NA,0.9555,0.299342857142857,"0",0.23,NA,NA
"300",1963,"Italy","ITA",11.885,7.1,25.3,5.1,4.4164,2.06,1963-06-21,"0",9.36,2.167,1,3,20387.84,5.844,NA,NA,NA,NA,1.1045,-0.5508,"0",0.309999999999999,NA,NA
"301",1968,"Italy","ITA",11.67,8.25,15.7,4.5,3.2388,0.769,1968-06-24,"0",9.58,2.333,2,3,20816.24,6.384,NA,NA,NA,NA,-1.291,-1.1776,"0",0.220000000000001,NA,NA
"302",1972,"Italy","ITA",14.3533333333333,5.86666666666667,14.55,8.7,3.50616666666667,2.679,1972-07-26,"0",9.68,2.667,2.5,3.167,21158.96,6.848,NA,NA,NA,NA,1.91,0.267366666666667,"0",0.0999999999999996,NA,NA
"303",1976,"Italy","ITA",13.5,4.29,17.95,6.1,3.4088,2.676,1976-07-29,"0",9.81,2.667,2.667,3.167,21501.68,7.344,NA,NA,NA,NA,-0.00299999999999967,-0.0973666666666664,"0",0.130000000000001,NA,NA
"304",1979,"Italy","ITA",13.5666666666667,4.65444444444444,12.65,5.375,3.72233333333333,1.74066666666667,1979-08-04,"0",9.92,2.333,1.833,3.167,21758.72,7.716,NA,NA,NA,NA,-0.935333333333333,0.313533333333333,"0",0.109999999999999,NA,NA
"305",1983,"Italy","ITA",12.1,4.604,15.7,6.8,4.68757142857143,0.627333333333333,1983-08-04,"1",9.97,2,1.5,3.667,22101.44,8.215,NA,NA,NA,NA,-1.11333333333333,0.965238095238095,"0",0.0500000000000007,NA,NA
"306",1987,"Italy","ITA",12.3066666666667,4.808,10.2666666666667,5.9,7.0305,1.76075,1987-07-28,"0",10.08,2,1.333,3.667,22444.16,8.715,NA,NA,NA,NA,1.13341666666667,2.34292857142857,"1",0.109999999999999,NA,NA
"307",1992,"Italy","ITA",8.742,5.475,8.16666666666667,5.4,7.9055,1.2177,1992-06-28,"1",10.2,2.167,0.667,3.667,22872.56,9.328,1.74,1057,1.85,NA,-0.54305,0.875,"0",0.119999999999999,NA,NA
"308",1994,"Italy","ITA",12.7371428571429,9.33857142857143,9.44666666666667,4.45,6.343,2.704,1994-05-11,"0",10.23,2.333,0.5,3.667,23043.92,9.566,1.53,936,1.64,NA,1.4863,-1.5625,"1",0.0300000000000011,-0.21,-121
"309",1996,"Italy","ITA",26.085,18.41,8.57,0.22,7.5185,2.34811111111111,1996-05-18,"0",10.28,2.667,0.5,3.667,23215.28,9.804,1.4,859,1.51,NA,-0.355888888888889,1.1755,"0",0.0499999999999989,-0.13,-77
"310",2001,"Italy","ITA",6.74666666666667,6.91,6.36,12.02,1.9245,0.161,2001-06-11,"0",10.42,2.667,0.667,3.667,NA,10.347,1.1,684,1.2,2.4,-2.18711111111111,-5.594,"0",0.140000000000001,-0.3,-175
"311",2006,"Italy","ITA",5.36285714285714,11.7566666666667,2.755,12.01,2.12,0,2006-05-17,"1",10.48,2.667,0.5,3.714,NA,10.682,0.95,610,1.05,4.5,-0.161,0.1955,"0",0.0600000000000005,-0.15,-74
"312",2008,"Italy","ITA",8.995,4.48,18.6,2.46,7.159,6.068,2008-05-08,"0",10.49,2.667,0.5,3.714,NA,10.816,0.91,587,1,5.8,6.068,5.039,"1",0.00999999999999979,-0.0399999999999999,-23
"313",2013,"Italy","ITA",4.865,0,10.6066666666667,1.97,6.43933333333333,3.27142857142857,2013-04-27,"1",10.41,2.667,0.5,3.714,NA,10.95,0.78,523,0.87,7.3,-2.79657142857143,-0.719666666666667,"0",-0.0800000000000001,-0.13,-64
"314",1960,"Japan","JPN",8.8,0,15.15,58.1,5.69425,0,1960-12-08,"0",8.76,2,1.667,3,40109.86,8.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",1963,"Japan","JPN",7.4,0,16.5,56,7.377,3.6,1963-12-09,"0",9.01,1.25,1.333,3,42925.498,9.083,NA,NA,NA,NA,3.6,1.68275,"0",0.25,NA,NA
"316",1967,"Japan","JPN",6.4,0,16.4,49.2,2.225,0,1967-02-17,"0",9.34,1.25,1.333,3.25,46679.682,9.687,NA,NA,NA,NA,-3.6,-5.152,"0",0.33,NA,NA
"317",1969,"Japan","JPN",9.325,0,14.125,47.63,1.1428,0,1970-01-14,"0",9.56,1.25,2,3.25,48556.774,9.989,NA,NA,NA,NA,0,-1.0822,"0",0.220000000000001,NA,NA
"318",1972,"Japan","JPN",7.72,0,16.195,46.85,0.4652,0,1972-12-22,"0",9.75,1.25,2,3.5,51372.412,10.32,NA,NA,NA,NA,0,-0.6776,"0",0.19,NA,NA
"319",1976,"Japan","JPN",7.12333333333333,0,15.535,41.78,4.364,0,1976-12-24,"0",9.83,1.25,1.25,3.625,55126.596,10.68,NA,NA,NA,NA,0,3.8988,"0",0.0800000000000001,NA,NA
"320",1979,"Japan","JPN",6.52666666666667,0.68,15.065,44.59,1.2825,0,1979-11-09,"0",9.95,1.25,1.25,3.625,57942.234,10.95,NA,NA,NA,NA,0,-3.0815,"0",0.119999999999999,NA,NA
"321",1980,"Japan","JPN",6.2,0.7,14.55,47.9,0,0,1980-07-17,"0",9.97,1.25,1.25,3.625,58880.78,11.04,NA,NA,NA,NA,0,-1.2825,"0",0.0200000000000014,NA,NA
"322",1983,"Japan","JPN",6.58333333333333,0.67,14.415,45.76,0.339,0,1983-12-27,"0",10.03,1.25,1.25,3.625,61696.418,11.28,NA,NA,NA,NA,0,0.339,"0",0.0599999999999987,NA,NA
"323",1986,"Japan","JPN",5.90333333333333,0.83,13.01,49.42,0.812,1.2785,1986-07-22,"0",10.13,1.25,1.25,3.625,64512.056,11.52,NA,NA,NA,NA,1.2785,0.473,"0",0.100000000000001,NA,NA
"324",1990,"Japan","JPN",6.41,0.86,16.155,46.16,0.340166666666667,0,1990-02-28,"0",10.31,1.25,1.25,3.75,68266.24,11.84,0.98,1171,0.96,NA,-1.2785,-0.471833333333333,"0",0.18,NA,NA
"325",1993,"Japan","JPN",4.76333333333333,0.73,11.565,18.2566666666667,0,0,1993-08-06,"0",10.34,1.25,1.25,3.75,71081.878,12.095,0.95,1156,0.93,NA,0,-0.340166666666667,"0",0.0299999999999994,-0.03,-15
"326",1996,"Japan","JPN",8.6,0.03,9.73,30.4,1.137,0,1996-11-07,"0",10.4,1,0.75,4,73897.516,12.35,0.88,1122,0.9,NA,0,1.137,"0",0.0600000000000005,-0.07,-34
"327",2000,"Japan","JPN",12.565,0,10.295,14.36,6.39725,5.07666666666667,2000-07-04,"0",10.41,1,0.75,4,77651.7,12.69,0.85,1134,0.9,1.2,5.07666666666667,5.26025,"0",0.00999999999999979,-0.03,12
"328",2003,"Japan","JPN",26.1,0,6.45,35,6.75366666666667,3.4385,2003-11-19,"0",10.42,1,0.75,4,NA,12.828,0.8,1081,0.86,1.5,-1.63816666666667,0.356416666666666,"0",0.00999999999999979,-0.0499999999999999,-53
"329",2005,"Japan","JPN",9.814,0,6.37,38.18,6.1614,1.575,2005-10-31,"0",10.46,1,0.75,4,NA,12.92,0.75,1029,0.82,1.6,-1.8635,-0.592266666666666,"0",0.0400000000000009,-0.05,-52
"330",2009,"Japan","JPN",10.205,0,5.65,26.73,7.829875,0,2009-09-16,"0",10.42,1,0.75,4,NA,13.104,0.66,930,0.73,1.7,-1.575,1.668475,"0",-0.0400000000000009,-0.09,-99
"331",2012,"Japan","JPN",9.6,0,4.73,27.6,6.82622222222222,6.711,2012-12-26,"0",10.48,1.5,0.75,4,NA,13.15,0.6,859,0.68,1.6,6.711,-1.00365277777778,"0",0.0600000000000005,-0.0600000000000001,-71
"332",2014,"Japan","JPN",12.4225,0,6.915,17.88,10.7455,6.343,2014-12-24,"0",10.51,1.5,0.75,4,NA,13.15,0.57,825,0.66,1.6,-0.368,3.91927777777778,"0",0.0299999999999994,-0.03,-34
"333",1993,"Latvia","LVA",14.06,5.92,8.88,9.35,0,0.772333333333333,1993-08-07,"0",9.04,1.833,0.5,3.571,NA,10.048,16.14,433,16.89,NA,NA,NA,NA,NA,NA,NA
"334",1998,"Latvia","LVA",12.0375,2.38,13.465,8.19,1.8065,0.8405,1998-11-26,"0",9.25,1.333,0.167,3.571,NA,10.171,13.34,344,14.28,NA,0.0681666666666667,1.8065,"0",0.210000000000001,-2.8,-89
"335",2002,"Latvia","LVA",12.86,1.4,11.5,5.4,1.516,1.98,2002-11-07,"0",9.47,0.833,0.167,3.571,NA,10.38,10.81,276,11.93,NA,1.1395,-0.2905,"0",0.220000000000001,-2.53,-68
"336",2006,"Latvia","LVA",10.6633333333333,8.25,4.765,6.94,2.38375,2.731,2006-11-07,"0",9.86,0.667,0.167,3.571,NA,10.698,9.89,249,11.22,20.8,0.751,0.86775,"0",0.389999999999999,-0.92,-27
"337",2010,"Latvia","LVA",19.9433333333333,26.61,1.47,7.84,3.226,2.84925,2010-11-03,"0",9.75,0.667,0.167,3.714,NA,11.015,7.5,181,8.66,17.3,0.11825,0.84225,"0",-0.109999999999999,-2.39,-68
"338",2011,"Latvia","LVA",13.5725,28.36,0,13.88,2.46,0,2011-10-25,"0",9.82,0.667,0.167,3.714,NA,11.015,7.03,168,8.16,16.6,-2.84925,-0.766,"0",0.0700000000000003,-0.47,-13
"339",2014,"Latvia","LVA",12.7944444444444,13.2566666666667,3.16666666666667,15.43,0,1.4578,2014-11-05,"0",9.94,0.833,0.167,3.714,NA,11.015,6.42,151,7.56,15.3,1.4578,-2.46,"0",0.119999999999999,-0.61,-17
"340",2018,"Latvia","LVA",9.334,11.275,3.22,12.705,2.44866666666667,2.84575,2018-10-06,"0",10.1,0.333,0.167,3.714,NA,11.015,NA,NA,NA,14.1,1.38795,2.44866666666667,"0",0.16,NA,NA
"341",1992,"Lithuania","LTU",11.7633333333333,13.6725,0,2.77,0,1.69688888888889,1992-12-02,"1",9.23,1.714,0.857,3.125,NA,9.63,9.56,365,9.89,NA,NA,NA,NA,NA,NA,NA
"342",1996,"Lithuania","LTU",8.45166666666667,6.522,1.73,2.79,4.28666666666667,1.71166666666667,1996-12-10,"0",9.08,1.286,0.429,3.125,NA,9.911,10.77,407,11.32,NA,0.0147777777777778,4.28666666666667,"1",-0.15,1.21,42
"343",2000,"Lithuania","LTU",6.06833333333333,13.8825,4.08,1.15,2.561,0.728333333333333,2000-10-26,"0",9.29,0.857,0.143,3.125,1326,10.192,9.24,345,9.87,NA,-0.983333333333333,-1.72566666666667,"0",0.209999999999999,-1.53,-62
"344",2004,"Lithuania","LTU",7.459,13.56,0,1.18,2.52833333333333,0.909333333333333,2004-12-14,"1",9.62,0.714,0.143,3.25,NA,10.748,9.27,345,10.2,NA,0.181,-0.0326666666666666,"0",0.33,0.0299999999999994,0
"345",2008,"Lithuania","LTU",9.945,6.574,3.24,1.75,1.79333333333333,1.46025,2008-11-27,"0",9.95,0.714,0.143,3.25,NA,11.305,9.1,329,10.25,1,0.550916666666667,-0.735,"1",0.33,-0.17,-16
"346",2012,"Lithuania","LTU",5.99666666666667,11.975,1.21,0,3.566,2.401,2012-12-13,"1",9.97,0.714,0.143,3.222,NA,11.584,6.85,234,7.82,0.8,0.94075,1.77266666666667,"0",0.0200000000000014,-2.25,-95
"347",2016,"Lithuania","LTU",9.965,12.0225,2.03,6.32,2.7228,1.53,2016-11-22,"1",10.12,0.857,0.143,3.222,NA,11.584,6.22,207,7.14,0.6,-0.871,-0.8432,"1",0.149999999999999,-0.63,-27
"348",1945,"Luxembourg","LUX",19.9382006236333,25.97,13.49,0,9.60633333333333,3.419,1945-11-14,"0",NA,1.75,1.5,3.667,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",1948,"Luxembourg","LUX",20.84,41.46,16.86,0,8.36325,0,1948-07-14,"0",NA,1,0.5,3.833,40.2,NA,NA,NA,NA,NA,-3.419,-1.24308333333333,"0",NA,NA,NA
"350",1951,"Luxembourg","LUX",30.56,35.48,3.4,0,3.066,0,1951-07-03,"0",9.42,1,0.5,3.833,41.78,NA,NA,NA,NA,NA,0,-5.29725,"0",NA,NA,NA
"351",1954,"Luxembourg","LUX",18.6566666666667,35.12,8.91,0,12.9213333333333,2.885,1954-06-28,"0",9.49,1,0.5,3.833,44.12,NA,NA,NA,NA,NA,2.885,9.85533333333333,"0",0.0700000000000003,NA,NA
"352",1959,"Luxembourg","LUX",27.68,34.92,9.07,0,8.45566666666667,5.149,1959-03-02,"0",9.64,1,0.5,3.833,48.02,NA,NA,NA,NA,NA,2.264,-4.46566666666667,"0",0.15,NA,NA
"353",1964,"Luxembourg","LUX",21.925,37.68,12.47,0,4.63875,0,1964-07-15,"0",9.79,1,0.5,3.833,51.92,NA,NA,NA,NA,NA,-5.149,-3.81691666666667,"0",0.149999999999999,NA,NA
"354",1968,"Luxembourg","LUX",25.93,32.25,15.5,0,3.6985,0,1969-02-06,"0",9.84,1,0.5,3.833,55.04,NA,NA,NA,NA,NA,0,-0.94025,"0",0.0500000000000007,NA,NA
"355",1974,"Luxembourg","LUX",25.04,18.1,10.47,0,6.044,0,1974-06-15,"0",10.11,1,0.5,4,59.72,NA,NA,NA,NA,NA,0,2.3455,"0",0.27,NA,NA
"356",1979,"Luxembourg","LUX",30.0075,12.208,3.2075,0,1.09125,0,1979-07-16,"0",10.12,1,0.5,4,63.62,NA,NA,NA,NA,NA,0,-4.95275,"0",0.00999999999999979,NA,NA
"357",1984,"Luxembourg","LUX",27.6375,17.13,5.1,0,5.3415,3.484,1984-07-20,"0",10.21,1,0.5,4,67.52,NA,NA,NA,NA,NA,3.484,4.25025,"0",0.0900000000000016,NA,NA
"358",1989,"Luxembourg","LUX",25.68,26.305,4.76333333333333,4.28333333333333,3.9838,1.9,1989-07-14,"0",10.5,1,0.5,4,71.42,NA,NA,NA,NA,NA,-1.584,-1.3577,"0",0.289999999999999,NA,NA
"359",1994,"Luxembourg","LUX",24.5975,25.745,6.1625,5.065,1.2515,0.576,1994-07-13,"0",10.62,1,0.5,4,75.32,NA,1.86,8,1.98,NA,-1.324,-2.7323,"0",0.119999999999999,NA,NA
"360",1999,"Luxembourg","LUX",25.86,23.66,4.875,9.675,0.862333333333333,0.671,1999-08-07,"0",10.76,1,0.5,4,79.22,NA,1.55,7,1.66,NA,0.095,-0.389166666666667,"0",0.140000000000001,-0.31,-1
"361",2004,"Luxembourg","LUX",25.6875,23.76,5.43,8.535,3.3814,0,2004-07-31,"0",10.87,1,0.5,4,NA,NA,1.32,6,1.42,39.3,-0.671,2.51906666666667,"0",0.109999999999999,-0.23,-1
"362",2009,"Luxembourg","LUX",25.7475,20.525,6.37333333333333,7.755,3.97233333333333,0,2009-07-23,"0",10.87,1,0.5,4,NA,NA,1.05,6,1.14,43.4,0,0.590933333333333,"0",0,-0.27,0
"363",2013,"Luxembourg","LUX",17.81,20.28,5.57,6.64,4.094,1.001,2013-12-04,"0",10.89,1,0.5,4,NA,NA,0.96,6,1.06,43.8,1.001,0.121666666666667,"0",0.0200000000000014,-0.0900000000000001,0
